Country,Data availability for UHC index of service coverage (ranking),Data availability for UHC index of service coverage,UHC index of service coverage (SCI),UHC index of service coverage (SCI)_2015,"UHC SCI components: Reproductive, maternal, newborn and child health","UHC SCI components: Reproductive, maternal, newborn and child health",UHC SCI components:  Infectious diseases,UHC SCI components:  Infectious diseases,UHC SCI components: Noncommunicable diseases,UHC SCI components: Noncommunicable diseases,UHC SCI components: Service capacity and access,UHC SCI components: Service capacity and access
South Sudan,low,34,31,30,28,27,26,23,69,69,18,20
Spain,high,53,83,81,93,94,79,74,65,63,98,97
Sri Lanka,medium,43,66,63,78,78,57,50,74,74,58,57
Sudan,medium,36,44,42,52,51,33,27,67,67,33,34
Suriname,low,30,71,70,74,76,59,56,73,72,78,77
Sweden,high,47,86,85,92,92,84,80,74,73,98,97
Switzerland,medium,36,83,82,94,94,76,74,68,68,97,97
Syrian Arab Republic,low,33,60,59,61,59,54,55,64,64,60,60
Tajikistan,low,34,68,67,66,66,64,55,57,56,88,96
Thailand,medium,43,80,75,90,90,74,62,69,68,88,83
Timor-Leste,medium,40,52,49,65,63,49,44,46,44,51,49
Togo,medium,39,43,42,55,54,44,40,71,71,21,21
Tonga,low,17,58,56,68,67,73,64,34,34,66,69
Trinidad and Tobago,low,29,74,72,80,81,67,59,71,71,78,77
Tunisia,medium,43,70,70,75,77,61,59,66,65,77,79
Turkey,medium,39,74,71,82,82,69,61,60,60,90,88
Turkmenistan,low,29,70,69,80,80,67,59,51,51,89,93
Uganda,high,49,45,44,69,67,44,40,72,72,19,20
Ukraine,medium,39,68,65,73,60,62,53,59,58,79,99
United Arab Emirates,high,46,76,72,84,84,69,65,62,61,92,82
United Kingdom of Great Britain and Northern Ireland,high,46,87,85,92,93,86,78,74,73,96,96
United Republic of Tanzania,medium,40,43,41,62,62,43,35,71,70,19,18
United States of America,high,47,84,83,90,90,81,79,68,68,100,99
Uruguay,high,50,80,79,93,93,68,69,68,67,94,92
Uzbekistan,medium,36,73,72,84,84,66,57,64,64,81,90
Vanuatu,low,26,48,49,66,65,45,44,44,43,42,45
Venezuela (Bolivarian Republic of),medium,41,74,73,76,83,67,63,79,79,75,70
Viet Nam,medium,40,75,73,82,82,73,66,64,63,83,83
Yemen,medium,37,42,40,39,39,43,36,64,63,29,29
Zambia,medium,39,53,54,70,69,49,48,69,69,34,38
Zimbabwe,medium,41,54,54,72,72,50,49,68,67,35,35
